date,sales
08-08-19,0.3
08-08-19,0.1
08-08-19,0.1
09-08-19,0.1
09-08-19,0.1
09-08-19,4.2
09-08-19,0.1
09-08-19,0.2
09-08-19,1.2
09-08-19,0.1
09-08-19,0.6
09-08-19,0.1
09-08-19,0.1
09-08-19,0.1
09-08-19,0.2
09-08-19,0.1
09-08-19,0.1
09-08-19,5.2
09-08-19,0.1
09-08-19,0.1
09-08-19,0.7
09-08-19,0.1
10-08-19, -   
10-08-19,0.2
10-08-19,0.2
10-08-19,0.1
10-08-19,0.2
10-08-19,0.2
10-08-19,0.2
10-08-19,0.2
10-08-19,0.2
10-08-19,0.2
10-08-19,0.2
10-08-19,0.2
10-08-19,0.1
10-08-19,0.2
10-08-19,0.2
10-08-19,0.1
10-08-19,0.2
10-08-19,0.2
10-08-19,0.2
10-08-19,0.2
10-08-19,0.2
10-08-19,0.2
10-08-19,0.1
10-08-19,0.2
10-08-19,0.2
10-08-19,0.1
10-08-19,0.2
10-08-19,0.1
10-08-19,0.2
10-08-19,0.2
10-08-19,0.2
10-08-19,0.2
10-08-19,0.2
10-08-19,0.2
10-08-19,0.2
10-08-19,0.3
10-08-19,0.3
10-08-19,0.4
10-08-19,0.1
11-08-19,0
12-08-19,0.2
12-08-19,0.2
12-08-19,0.1
12-08-19,1.7
12-08-19,0
12-08-19,0.1
12-08-19,0.2
12-08-19,0.6
12-08-19,0.2
13-08-19,0.4
13-08-19,0.1
13-08-19,0.2
13-08-19,0.1
13-08-19,0.7
13-08-19,0.3
13-08-19,0.1
13-08-19,0.1
13-08-19,0.2
13-08-19,0.2
13-08-19,0.5
13-08-19,0.9
13-08-19,0.1
13-08-19,0.1
13-08-19,0.1
13-08-19,0.1
13-08-19,0.3
13-08-19,0.1
14-08-19,0.1
14-08-19,0.2
14-08-19,0.2
14-08-19,0.1
14-08-19,0.1
14-08-19,0.2
14-08-19,0.1
14-08-19,0.4
14-08-19,1
14-08-19,0.4
14-08-19,0.1
14-08-19,0.3
14-08-19,0
14-08-19,0.1
14-08-19,0.2
14-08-19, -   
14-08-19,0.1
14-08-19,0.1
14-08-19,0.3
14-08-19,0.2
14-08-19,0.1
14-08-19,0.1
15-08-19,0.2
15-08-19,0.2
15-08-19,0.1
15-08-19,0.1
15-08-19,0.2
15-08-19,0.4
15-08-19,0
15-08-19,0.3
15-08-19,0.4
15-08-19,0.8
15-08-19,0.1
15-08-19,0.2
15-08-19,0.2
15-08-19,0.1
15-08-19,0.1
15-08-19,0.5
15-08-19,0.1
15-08-19,0.1
15-08-19,0.1
15-08-19,0.2
15-08-19,0.2
16-08-19,0.3
16-08-19,0.3
16-08-19,0.5
16-08-19,0.1
16-08-19,0
16-08-19,0.1
16-08-19,0.1
16-08-19,0.2
16-08-19,0.2
16-08-19,0.1
16-08-19,0.2
16-08-19,0.2
16-08-19,0.2
16-08-19,0.2
16-08-19,0.2
16-08-19,0.2
16-08-19,0.2
16-08-19,0.2
16-08-19,0.1
16-08-19,0.1
16-08-19,0.3
16-08-19,0.3
17-08-19,0.4
17-08-19,0.2
17-08-19,0.4
17-08-19,0.3
17-08-19,0.1
17-08-19,0.4
17-08-19,0.1
18-08-19,0
19-08-19,0.1
19-08-19,0.2
19-08-19,0.2
19-08-19,0.1
19-08-19,0.1
19-08-19,0
19-08-19,0.1
19-08-19,0.1
19-08-19,0.4
19-08-19,1.3
19-08-19,0.2
19-08-19,0.1
19-08-19,0.1
19-08-19,0.1
19-08-19,0.1
19-08-19, -   
19-08-19,2.7
19-08-19,0.1
19-08-19,0.2
19-08-19,0.3
20-08-19,0.4
20-08-19,0.1
20-08-19,0.4
20-08-19,0.1
20-08-19,0.1
20-08-19,0
20-08-19,0.3
20-08-19,0.9
20-08-19,1
20-08-19,0.4
20-08-19,0.3
20-08-19,0.3
20-08-19,0.3
20-08-19,0.1
20-08-19,0.1
20-08-19,0.1
20-08-19,0.2
20-08-19,0.7
20-08-19, -   
20-08-19,0.2
20-08-19,0.2
20-08-19,0.4
20-08-19,0.7
20-08-19,0.4
21-08-19,0.1
21-08-19,0.2
21-08-19,0.1
21-08-19,0.3
21-08-19,0.2
21-08-19,0.1
21-08-19,0.1
21-08-19,0.2
21-08-19,0.6
21-08-19,3
21-08-19,0.2
21-08-19,0.3
21-08-19,0.5
21-08-19,0.2
21-08-19,0.2
21-08-19, -   
22-08-19,0.2
22-08-19,0.3
22-08-19,0.1
22-08-19,0.1
22-08-19,0.3
22-08-19,0.3
22-08-19,0.2
22-08-19,0.3
22-08-19,0.1
22-08-19,0.3
22-08-19,0.1
22-08-19,0.2
22-08-19,0.2
22-08-19,0.2
22-08-19,0
22-08-19,0.4
22-08-19,0.2
22-08-19,0.3
22-08-19,0.1
22-08-19,0.1
22-08-19,0.3
22-08-19,0.2
22-08-19,0.1
22-08-19,0.3
22-08-19,0.2
22-08-19,0.1
22-08-19,0.6
22-08-19,0.1
22-08-19,0.3
22-08-19,0.3
22-08-19, -   
22-08-19,0.6
22-08-19,1.1
22-08-19,0.2
23-08-19,0.2
23-08-19,0.1
23-08-19, -   
23-08-19,1.3
23-08-19,0.4
23-08-19,0.6
23-08-19,0.3
23-08-19,0.8
23-08-19,0.1
23-08-19,0.1
23-08-19,0.2
23-08-19,0.1
23-08-19,0.7
23-08-19,0.3
23-08-19,0.1
23-08-19,0.2
23-08-19,0.1
23-08-19,0.1
23-08-19,0.1
24-08-19,0
24-08-19,0.1
24-08-19,0.4
24-08-19,0.2
24-08-19,0.5
24-08-19,0.2
24-08-19,0.1
24-08-19,1.4
24-08-19,0.2
24-08-19,0.1
25-08-19,0
26-08-19,0.1
26-08-19,4.2
26-08-19,0.1
26-08-19,0.1
26-08-19,0.1
26-08-19,0.1
26-08-19,0.3
26-08-19,0.2
26-08-19,0
26-08-19,0.1
26-08-19,0.1
26-08-19,0.1
26-08-19,0.4
26-08-19,0.2
26-08-19,1.7
26-08-19,1
26-08-19,1.4
26-08-19,0.1
26-08-19,0.2
27-08-19,0.1
27-08-19,0.3
27-08-19,0.2
27-08-19,0.3
27-08-19,0.1
27-08-19,0.2
27-08-19,0.3
27-08-19,0.1
27-08-19,0.6
27-08-19,0.6
27-08-19,0
27-08-19,0.2
27-08-19,0.7
27-08-19,0.2
27-08-19,0.3
27-08-19,0.5
27-08-19,0.5
27-08-19,0.3
27-08-19,0.1
27-08-19,0.1
28-08-19, -   
28-08-19,0.4
28-08-19,0.1
28-08-19,0.8
28-08-19,0.3
28-08-19,1.3
28-08-19, -   
28-08-19,1
28-08-19,0.4
28-08-19,0.1
28-08-19, -   
28-08-19,0.5
28-08-19,0.1
29-08-19,0.1
29-08-19,0.3
29-08-19,0.3
29-08-19,0.3
29-08-19,0.2
29-08-19,0.1
29-08-19,0.2
29-08-19,0.1
29-08-19,0.3
29-08-19,0.1
29-08-19,0.1
29-08-19,0.6
29-08-19,0.2
30-08-19,1
30-08-19,0.3
30-08-19,0.1
30-08-19,0.3
30-08-19,0.3
30-08-19,1.3
30-08-19,1.3
30-08-19,0.2
30-08-19,0.3
30-08-19,0.1
30-08-19,1.1
30-08-19,0.1
30-08-19,0.3
30-08-19,0.1
30-08-19,0
30-08-19,0.1
30-08-19,0.2
30-08-19,0.8
30-08-19,0.2
30-08-19,0.1
30-08-19,0.2
30-08-19,1.1
30-08-19,1.4
30-08-19,0.2
30-08-19,2.3
30-08-19,0.3
31-08-19,0.2
31-08-19,0.3
31-08-19,0.3
31-08-19,0.3
31-08-19,0.3
31-08-19,0.3
31-08-19,0.1
31-08-19,0.3
31-08-19,0.3
31-08-19,0.3
31-08-19,0.3
31-08-19,0.3
31-08-19,0.3
31-08-19,0.3
31-08-19,0.3
31-08-19,0.2
31-08-19,0.3
31-08-19,0.3
31-08-19,0.4
31-08-19,0.3
31-08-19,0.3
31-08-19,0.1
31-08-19,0.3
31-08-19,0.3
31-08-19,0.2
31-08-19,0.3
31-08-19,0.3
31-08-19,0.3
31-08-19,0.3
31-08-19,0.3
31-08-19,0.3
31-08-19,0.3
31-08-19,0.3
31-08-19,0.3
31-08-19,0.3
31-08-19,0.1
31-08-19,0.3
31-08-19,0.3
31-08-19,0.3
31-08-19,1
31-08-19,0.5
31-08-19,0.1
